Date,Open,High,Low,Close,Volume
2005-08-02,7.313,7.511,7.301,7.503,14565800
2005-08-03,7.473,7.516,7.413,7.456,11849300
2005-08-04,7.412,7.498,7.404,7.466,10462500
2005-08-05,7.461,7.486,7.305,7.331,11867500
2005-08-08,7.363,7.414,7.285,7.304,8954600
2005-08-09,7.322,7.34,7.235,7.312,11547000
2005-08-10,7.305,7.331,7.144,7.164,13744200
2005-08-11,7.169,7.187,7.037,7.123,15014700
2005-08-12,7.106,7.277,7.063,7.265,13158600
2005-08-15,7.272,7.342,7.116,7.122,16333000
2005-08-16,7.144,7.217,7.105,7.163,14204100
2005-08-17,7.16,7.186,7.122,7.15,7758800
2005-08-18,6.919,7.034,6.896,7.021,23721800
2005-08-19,7.047,7.058,7.012,7.022,11074700
2005-08-22,7.053,7.059,6.855,6.871,13612300
2005-08-23,6.925,7.015,6.874,7.011,11631700
2005-08-24,6.961,7.141,6.933,7.086,17169000
2005-08-25,7.086,7.122,7.021,7.087,8744400
2005-08-26,7.109,7.148,7.088,7.111,7503000
2005-08-29,7.078,7.25,7.078,7.234,11794100
2005-08-30,7.203,7.26,7.169,7.204,9574400
2005-08-31,7.228,7.235,7.131,7.172,10057900
2005-09-01,7.17,7.21,7.147,7.178,5478700
2005-09-02,7.185,7.272,7.183,7.234,6862100
2005-09-06,7.247,7.257,7.192,7.2,8416100
2005-09-07,7.169,7.41,7.154,7.395,14984000
2005-09-08,7.394,7.505,7.357,7.408,13213300
2005-09-09,7.455,7.501,7.437,7.5,8772200
2005-09-12,7.567,7.81,7.548,7.767,20752200
2005-09-13,7.742,7.913,7.678,7.816,20579200
2005-09-14,7.742,7.856,7.531,7.598,22529000
2005-09-15,7.518,7.692,7.471,7.589,30901400
2005-09-16,7.624,7.636,7.52,7.528,15144400
2005-09-19,7.548,7.674,7.541,7.618,11512200
2005-09-20,7.677,7.807,7.654,7.722,18683200
2005-09-21,7.734,7.868,7.673,7.822,20219100
2005-09-22,7.811,8.005,7.778,7.808,25986700
2005-09-23,7.849,7.955,7.839,7.908,16950600
2005-09-26,8.012,8.049,7.838,7.881,19769000
2005-09-27,7.898,7.985,7.859,7.873,13732400
2005-09-28,7.88,7.902,7.664,7.674,15978800
2005-09-29,7.691,7.792,7.676,7.764,11216300
2005-09-30,7.88,7.962,7.831,7.936,18284200
2005-10-03,7.865,8.028,7.844,7.992,18302200
2005-10-04,8.014,8.057,7.793,7.799,18270300
2005-10-05,7.841,7.897,7.724,7.792,16640100
2005-10-06,7.874,7.886,7.776,7.843,15971600
2005-10-07,7.894,7.941,7.788,7.849,13527000
2005-10-10,7.857,7.895,7.753,7.79,11133200
2005-10-11,7.803,7.84,7.645,7.676,17068100
2005-10-12,7.654,7.704,7.498,7.548,18593700
2005-10-13,7.573,7.573,7.29,7.459,21114200
2005-10-14,7.505,7.529,7.336,7.426,17021100
2005-10-17,7.461,7.654,7.387,7.649,15118200
2005-10-18,7.648,7.723,7.592,7.605,14141400
2005-10-19,7.624,7.771,7.623,7.741,14007300
2005-10-20,7.774,7.802,7.554,7.603,27795500
2005-10-21,8.672,8.688,8.351,8.524,45739000
2005-10-24,8.611,8.76,8.581,8.743,18844500
2005-10-25,8.671,8.712,8.598,8.7,13742800
2005-10-26,8.684,8.928,8.682,8.914,17797100
2005-10-27,8.943,8.955,8.819,8.854,10258500
2005-10-28,8.909,9.002,8.903,8.982,11795100
2005-10-31,9.034,9.398,9.016,9.332,28657100
2005-11-01,9.325,9.627,9.254,9.514,32679400
2005-11-02,9.572,9.655,9.458,9.521,21109600
2005-11-03,9.59,9.694,9.564,9.679,14881900
2005-11-04,9.773,9.825,9.666,9.791,17632100
2005-11-07,9.908,9.968,9.834,9.906,19163800
2005-11-08,9.887,9.92,9.745,9.778,15779200
2005-11-09,9.697,9.737,9.48,9.508,20912800
2005-11-10,9.488,9.814,9.465,9.808,18239100
2005-11-11,9.909,9.953,9.751,9.79,14113600
2005-11-14,9.833,9.986,9.819,9.955,15600100
2005-11-15,9.89,9.956,9.804,9.85,17232500
2005-11-16,9.936,10.002,9.883,9.985,17373000
2005-11-17,10.076,10.127,10.019,10.117,18405900
2005-11-18,10.122,10.144,10.027,10.036,14037100
2005-11-21,10.01,10.281,9.868,10.266,20649500
2005-11-22,10.248,10.465,10.187,10.444,19172800
2005-11-23,10.458,10.651,10.427,10.604,20149800
2005-11-25,10.677,10.752,10.665,10.749,9670500
2005-11-28,10.779,10.814,10.594,10.62,21994700
2005-11-29,10.636,10.693,10.085,10.12,42948600
2005-11-30,10.143,10.243,9.92,10.154,31162000
2005-12-01,10.262,10.418,10.239,10.384,19470300
2005-12-02,10.456,10.521,10.379,10.475,15071900
2005-12-05,10.457,10.47,10.138,10.178,20558200
2005-12-06,10.249,10.442,10.074,10.145,30220300
2005-12-07,10.185,10.199,10.006,10.137,23308400
2005-12-08,10.164,10.298,10.097,10.298,17802100
2005-12-09,10.407,10.427,10.246,10.262,15271500
2005-12-12,10.398,10.412,10.28,10.347,13886200
2005-12-13,10.357,10.482,10.323,10.47,16311200
2005-12-14,10.458,10.526,10.419,10.506,13247500
2005-12-15,10.51,10.611,10.445,10.596,12079500
2005-12-16,10.666,10.846,10.601,10.787,32628300
2005-12-19,10.838,11.19,10.535,10.648,43829700
2005-12-20,10.73,10.838,10.65,10.777,20149200
2005-12-21,10.872,10.955,10.55,10.691,22421300
2005-12-22,10.828,10.855,10.681,10.834,15078100
2005-12-23,10.837,10.846,10.753,10.807,9181000
2005-12-27,10.83,10.83,10.602,10.649,13392100
2005-12-28,10.636,10.728,10.564,10.7,14221500
2005-12-29,10.733,10.751,10.512,10.536,13877700
2005-12-30,10.464,10.488,10.376,10.404,15159000
2006-01-03,10.596,10.925,10.488,10.914,26216100
2006-01-04,11.132,11.259,11.028,11.165,30542200
2006-01-05,11.185,11.324,11.072,11.316,21594900
2006-01-06,11.457,11.799,11.366,11.678,35478200
2006-01-09,11.69,11.872,11.559,11.709,25558200
2006-01-10,11.646,11.793,11.587,11.78,18176000
2006-01-11,11.818,11.915,11.766,11.827,17996700
2006-01-12,11.88,11.912,11.573,11.627,20230300
2006-01-13,11.644,11.708,11.576,11.692,15297800
2006-01-17,11.641,11.784,11.599,11.714,16524000
2006-01-18,11.217,11.469,11.116,11.157,40930400
2006-01-19,11.314,11.372,10.859,10.945,29045500
2006-01-20,10.971,11.035,9.899,10.017,82151100
2006-01-23,10.216,10.743,10.175,10.721,45437300
2006-01-24,10.935,11.158,10.896,11.11,30898200
2006-01-25,11.316,11.391,10.764,10.859,37442100
2006-01-26,11.023,11.034,10.622,10.89,25826300
2006-01-27,10.914,10.989,10.758,10.871,16887400
2006-01-30,10.768,10.866,10.658,10.704,17160600
2006-01-31,10.8,11.024,10.632,10.85,44087800
2006-02-01,9.777,10.081,9.718,10.076,54190700
2006-02-02,10.13,10.194,9.93,9.932,23591700
2006-02-03,9.875,9.878,9.343,9.568,36527000
2006-02-06,9.661,9.778,9.518,9.657,17862900
2006-02-07,9.608,9.622,9.112,9.226,33227100
2006-02-08,9.235,9.296,8.894,9.256,41566500
2006-02-09,9.315,9.389,8.93,8.997,23800900
2006-02-10,9.078,9.141,8.856,9.093,30416500
2006-02-13,8.634,8.792,8.574,8.669,39396100
2006-02-14,8.659,8.819,8.587,8.61,29278600
2006-02-15,8.561,8.677,8.472,8.586,25868100
2006-02-16,8.673,9.203,8.639,9.19,42588300
2006-02-17,9.278,9.332,9.119,9.247,28611700
2006-02-21,9.186,9.367,9.156,9.193,17354600
2006-02-22,9.207,9.252,9.125,9.166,12939400
2006-02-23,9.164,9.561,9.163,9.481,25078000
2006-02-24,9.462,9.531,9.366,9.464,12955600
2006-02-27,9.56,9.823,9.536,9.79,20403900
2006-02-28,9.847,9.969,8.489,9.094,78796300
2006-03-01,9.254,9.265,9.06,9.148,24098200
2006-03-02,9.139,9.557,9.083,9.44,36623900
2006-03-03,9.637,9.711,9.423,9.484,23900000
2006-03-06,9.546,9.615,9.207,9.231,17861500
2006-03-07,9.139,9.24,8.981,9.139,20736800
2006-03-08,8.872,9.029,8.791,8.874,23467700
2006-03-09,8.914,8.991,8.564,8.602,27792900
2006-03-10,8.614,8.639,8.314,8.464,38612500
2006-03-13,8.519,8.679,8.412,8.453,27257500
2006-03-14,8.441,8.837,8.341,8.806,36864400
2006-03-15,8.799,8.835,8.54,8.639,25512000
2006-03-16,8.744,8.746,8.474,8.495,20013300
2006-03-17,8.5,8.571,8.399,8.521,17086200
2006-03-20,8.577,8.779,8.565,8.732,20794300
2006-03-21,8.776,8.819,8.503,8.524,19642500
2006-03-22,8.524,8.629,8.464,8.532,15176800
2006-03-23,8.583,8.671,8.531,8.574,14854500
2006-03-24,9.242,9.281,9.091,9.173,30330800
2006-03-27,9.21,9.322,9.153,9.271,14033300
2006-03-28,9.329,9.476,9.308,9.459,17873700
2006-03-29,9.529,10.006,9.517,9.905,38016900
2006-03-30,9.761,9.868,9.62,9.741,29393900
2006-03-31,9.749,9.827,9.63,9.78,72969700
2006-04-03,9.774,9.842,9.728,9.773,16229100
2006-04-04,9.78,10.154,9.734,10.14,31399900
2006-04-05,10.224,10.396,10.102,10.231,26794100
2006-04-06,10.207,10.379,10.167,10.311,17179800
2006-04-07,10.346,10.353,10.132,10.185,14037700
2006-04-10,10.222,10.462,10.163,10.442,18621500
2006-04-11,10.442,10.51,10.187,10.273,22192100
2006-04-12,10.26,10.315,10.161,10.255,12021900
2006-04-13,10.252,10.276,10.044,10.085,13092600
2006-04-17,10.126,10.344,10.052,10.202,16502400
2006-04-18,10.22,10.277,10.069,10.137,16258900
2006-04-19,10.341,10.373,10.2,10.294,13549800
2006-04-20,10.329,10.959,10.237,10.407,24518400
2006-04-21,11.285,11.303,10.938,10.961,45057400
2006-04-24,11.018,11.152,10.947,11.047,17655100
2006-04-25,11.02,11.06,10.683,10.712,19118800
2006-04-26,10.751,10.784,10.621,10.682,14541000
2006-04-27,10.602,10.706,10.517,10.533,16659100
2006-04-28,10.476,10.676,10.44,10.481,14827700
2006-05-01,10.479,10.518,9.995,10.003,20701600
2006-05-02,10.056,10.093,9.74,9.901,26182300
2006-05-03,9.944,10.069,9.802,9.885,16128200
2006-05-04,9.906,10.003,9.836,9.899,9294600
2006-05-05,9.971,10.048,9.825,9.888,12117800
2006-05-08,9.908,9.959,9.781,9.9,10226900
2006-05-09,9.923,10.257,9.874,10.252,18262900
2006-05-10,10.239,10.325,10.078,10.106,12362000
2006-05-11,10.117,10.149,9.654,9.705,17767800
2006-05-12,9.617,9.652,9.368,9.382,20155000
2006-05-15,9.427,9.533,9.235,9.434,17163000
2006-05-16,9.429,9.451,9.276,9.311,12969200
2006-05-17,9.294,9.525,9.284,9.391,21266300
2006-05-18,9.499,9.575,9.296,9.303,11658300
2006-05-19,9.361,9.391,9.042,9.279,22773600
2006-05-22,9.225,9.355,9.16,9.302,17191500
2006-05-23,9.384,9.627,9.368,9.419,17948000
2006-05-24,9.463,9.616,9.319,9.561,19088400
2006-05-25,9.506,9.605,9.337,9.604,16372800
2006-05-26,9.644,9.677,9.53,9.563,7326600
2006-05-30,9.486,9.554,9.315,9.327,8623300
2006-05-31,9.374,9.486,9.198,9.324,15946600
2006-06-01,9.367,9.604,9.319,9.595,12543400
2006-06-02,9.701,9.707,9.465,9.515,12760000
2006-06-05,9.434,9.566,9.383,9.39,11105800
2006-06-06,9.444,9.78,9.437,9.78,20499000
2006-06-07,9.861,9.902,9.692,9.693,17804700
2006-06-08,9.724,9.887,9.494,9.863,20698200
2006-06-09,9.835,9.916,9.711,9.737,12302600
2006-06-12,9.701,9.792,9.554,9.568,10028100
2006-06-13,9.552,9.705,9.482,9.693,15302800
2006-06-14,9.776,9.808,9.492,9.64,15528400
2006-06-15,9.695,9.837,9.605,9.805,13557800
2006-06-16,9.758,9.804,9.73,9.798,10598500
2006-06-19,9.802,9.901,9.704,9.734,15250900
2006-06-20,9.731,9.827,9.693,9.709,8071700
2006-06-21,9.807,10.131,9.774,10.084,17471300
2006-06-22,10.071,10.181,9.73,10.03,11811900
2006-06-23,10.1,10.275,10.05,10.153,10618900
2006-06-26,10.2,10.239,10.112,10.137,7095200
2006-06-27,10.174,10.232,10.056,10.089,8205900
2006-06-28,10.132,10.193,10.059,10.184,7413500
2006-06-29,10.231,10.487,10.177,10.478,13303000
2006-06-30,10.422,10.516,10.34,10.516,12503400
2006-07-03,10.534,10.627,10.519,10.613,4309000
2006-07-05,10.571,10.603,10.423,10.569,9961200
2006-07-06,10.617,10.667,10.582,10.613,7366800
2006-07-07,10.684,10.73,10.429,10.544,12071700
2006-07-10,10.619,10.664,10.442,10.487,8863900
2006-07-11,10.495,10.659,10.358,10.647,11930600
2006-07-12,10.585,10.601,10.451,10.464,9803500
2006-07-13,10.382,10.491,10.202,10.252,13835100
2006-07-14,10.29,10.319,9.996,10.119,15089000
2006-07-17,10.147,10.307,10.124,10.229,11612100
2006-07-18,10.275,10.296,9.974,10.107,17056500
2006-07-19,9.906,10.06,9.897,10.006,17019900
2006-07-20,10.138,10.142,9.671,9.708,25052300
2006-07-21,9.683,9.824,9.471,9.783,23485600
2006-07-24,9.851,9.878,9.56,9.803,16156000
2006-07-25,9.655,9.813,9.625,9.764,11510600
2006-07-26,9.735,9.828,9.605,9.667,11052700
2006-07-27,9.714,9.717,9.478,9.59,11270900
2006-07-28,9.58,9.769,9.573,9.733,8159000
2006-07-31,9.73,9.759,9.612,9.695,9181400
2006-08-01,9.658,9.674,9.417,9.417,10915400
2006-08-02,9.419,9.458,9.158,9.209,14181400
2006-08-03,9.153,9.477,9.112,9.414,12641300
2006-08-04,9.518,9.546,9.323,9.375,10180200
2006-08-07,9.316,9.523,9.307,9.478,7885900
2006-08-08,9.6,9.642,9.507,9.554,11474900
2006-08-09,9.6,9.647,9.438,9.453,8613300
2006-08-10,9.376,9.471,9.34,9.384,8515200
2006-08-11,9.376,9.411,9.228,9.241,7525400
2006-08-14,9.316,9.407,9.245,9.264,9926600
2006-08-15,9.382,9.571,9.344,9.554,13383000
2006-08-16,9.617,9.741,9.583,9.723,11694600
2006-08-17,9.69,9.78,9.628,9.675,10150200
2006-08-18,9.688,9.707,9.548,9.614,9894400
2006-08-21,9.482,9.504,9.41,9.462,8038500
2006-08-22,9.473,9.511,9.4,9.487,8319800
2006-08-23,9.47,9.486,9.345,9.365,7277300
2006-08-24,9.39,9.439,9.335,9.372,6958000
2006-08-25,9.356,9.412,9.341,9.36,4928400
2006-08-28,9.419,9.553,9.404,9.553,8319600
2006-08-29,9.549,9.588,9.459,9.503,8911000
2006-08-30,9.51,9.646,9.492,9.548,8080700
2006-08-31,9.567,9.583,9.484,9.493,5913800
2006-09-01,9.554,9.562,9.459,9.494,5340400
2006-09-05,9.526,9.665,9.465,9.639,8140400
2006-09-06,9.582,9.609,9.521,9.533,7440700
